"","continent","genres","n","lat","lon"
"1","Africa","Blues",1,13.73973,20.01333
"2","Africa","Dubstep",1,13.73973,20.01333
"3","Africa","Electronic",4,13.73973,20.01333
"4","Africa","Hip Hop",3,13.73973,20.01333
"5","Africa","Jazz",3,13.73973,20.01333
"6","Africa","Missing data",153,13.73973,20.01333
"7","Africa","Others",9,13.73973,20.01333
"8","Africa","Pop",7,13.73973,20.01333
"9","Africa","Rock",17,13.73973,20.01333
"10","Africa","Techno",1,13.73973,20.01333
"11","Americas","Blues",305,46.24609,-104.09475
"12","Americas","Comedy",35,46.24609,-104.09475
"13","Americas","Dubstep",16,46.24609,-104.09475
"14","Americas","Electronic",143,46.24609,-104.09475
"15","Americas","Emo",7,46.24609,-104.09475
"16","Americas","Hip Hop",271,46.24609,-104.09475
"17","Americas","Jazz",309,46.24609,-104.09475
"18","Americas","Missing data",14746,46.24609,-104.09475
"19","Americas","Others",1465,46.24609,-104.09475
"20","Americas","Pop",489,46.24609,-104.09475
"21","Americas","Rhythm",1,46.24609,-104.09475
"22","Americas","Rock",2487,46.24609,-104.09475
"23","Americas","Techno",4,46.24609,-104.09475
"24","Asia","Blues",1,54.67449,93.61055
"25","Asia","Dubstep",1,54.67449,93.61055
"26","Asia","Electronic",10,54.67449,93.61055
"27","Asia","Hip Hop",6,54.67449,93.61055
"28","Asia","Jazz",5,54.67449,93.61055
"29","Asia","Missing data",1260,54.67449,93.61055
"30","Asia","Others",23,54.67449,93.61055
"31","Asia","Pop",83,54.67449,93.61055
"32","Asia","Rock",106,54.67449,93.61055
"33","Asia","Techno",4,54.67449,93.61055
"34","Europe","Blues",17,49.17557,13.49344
"35","Europe","Comedy",78,49.17557,13.49344
"36","Europe","Dubstep",20,49.17557,13.49344
"37","Europe","Electronic",255,49.17557,13.49344
"38","Europe","Emo",1,49.17557,13.49344
"39","Europe","Hip Hop",211,49.17557,13.49344
"40","Europe","Jazz",96,49.17557,13.49344
"41","Europe","Missing data",13858,49.17557,13.49344
"42","Europe","Others",1139,49.17557,13.49344
"43","Europe","Pop",501,49.17557,13.49344
"44","Europe","Rock",1581,49.17557,13.49344
"45","Europe","Techno",20,49.17557,13.49344
"46","Oceania","Blues",1,-26.70487,138.19662
"47","Oceania","Comedy",2,-26.70487,138.19662
"48","Oceania","Dubstep",2,-26.70487,138.19662
"49","Oceania","Electronic",6,-26.70487,138.19662
"50","Oceania","Hip Hop",3,-26.70487,138.19662
"51","Oceania","Jazz",1,-26.70487,138.19662
"52","Oceania","Missing data",854,-26.70487,138.19662
"53","Oceania","Others",48,-26.70487,138.19662
"54","Oceania","Pop",21,-26.70487,138.19662
"55","Oceania","Rock",122,-26.70487,138.19662
"56",NA,"Blues",70,-60.96535,163.078
"57",NA,"Comedy",53,-60.96535,163.078
"58",NA,"Dubstep",9,-60.96535,163.078
"59",NA,"Electronic",217,-60.96535,163.078
"60",NA,"Emo",6,-60.96535,163.078
"61",NA,"Hip Hop",217,-60.96535,163.078
"62",NA,"Jazz",61,-60.96535,163.078
"63",NA,"Missing data",32973,-60.96535,163.078
"64",NA,"Others",1300,-60.96535,163.078
"65",NA,"Pop",369,-60.96535,163.078
"66",NA,"Rock",1388,-60.96535,163.078
"67",NA,"Techno",16,-60.96535,163.078
